strategy,params,sample,total_return,max_drawdown,sharpe_ratio,win_rate,total_trades
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.1}",8,-0.30562899774203023,-0.3623795559279429,-2.0317253244415685,0.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.1}",9,-0.5024314108283574,-0.6154189611549341,-2.3844514078103676,0.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.2}",0,0.057673086439172766,-0.11263017356475247,1.094792650788088,1.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.2}",1,0.05597450730194105,-0.11631730374023841,0.9492096984475498,1.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.2}",2,-0.6158168604279194,-0.7035445757250267,-2.79211848488818,0.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.2}",3,-0.11648514795448137,-0.33782839575181645,-0.45017902887075034,0.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.2}",4,-0.040806485330465145,-0.24964471814306022,0.14194265879072265,0.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.2}",5,-0.0944525375014764,-0.22588144130182164,-0.46422049027880685,0.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.2}",6,1.7454607798342152,-0.23903172299398667,3.799979024994631,1.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.2}",7,-0.25319252448815793,-0.34373690825303715,-0.9540148314482478,0.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.2}",8,6.493402314530376,-0.33899598393574304,5.314799888140538,1.0,1
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.2}",9,-0.13823310497894817,-0.3703843255463459,-0.4648116980367419,0.0,1
